
VD= 0 to 1 in 0.01 step
VG= 0 to 1 in 0.2 step
NO. VG ID IG VD
 V A A V
333 0.6 0.00019109 3.1509E-06 0.29
334 0.6 0.00019365 3.1082E-06 0.3
335 0.6 0.00019623 3.0987E-06 0.31
336 0.6 0.00019868 3.1013E-06 0.32
337 0.6 0.00020063 3.1315E-06 0.33
338 0.6 0.00020345 3.0895E-06 0.34
339 0.6 0.00020527 3.077E-06 0.35
340 0.6 0.00020798 3.2221E-06 0.36
341 0.6 0.00021 3.1096E-06 0.37
342 0.6 0.0002117 3.086E-06 0.38
343 0.6 0.00021424 3.0631E-06 0.39
344 0.6 0.00021574 3.0415E-06 0.4
345 0.6 0.00021828 3.0369E-06 0.41
346 0.6 0.00022041 3.0405E-06 0.42
347 0.6 0.00022213 3.0414E-06 0.43
348 0.6 0.00022398 3.0217E-06 0.44
349 0.6 0.00022608 3.0503E-06 0.45
350 0.6 0.00022804 3.0607E-06 0.46
351 0.6 0.00022954 3.016E-06 0.47
352 0.6 0.00023176 3.0153E-06 0.48
353 0.6 0.00023356 3.0089E-06 0.49
354 0.6 0.00023553 3.0576E-06 0.5
355 0.6 0.00023728 2.9997E-06 0.51
356 0.6 0.00023927 2.9994E-06 0.52
357 0.6 0.00024048 3.0012E-06 0.53
358 0.6 0.00024241 3.0236E-06 0.54
359 0.6 0.00024405 3.0012E-06 0.55
360 0.6 0.00024605 3.0236E-06 0.56
361 0.6 0.00024786 3.0217E-06 0.57
362 0.6 0.00024958 3.0115E-06 0.58
363 0.6 0.00025126 3.0031E-06 0.59
364 0.6 0.00025294 2.9933E-06 0.6
365 0.6 0.00025479 2.9888E-06 0.61
366 0.6 0.00025659 2.993E-06 0.62
367 0.6 0.00025818 2.9903E-06 0.63
368 0.6 0.00025995 3.0484E-06 0.64
369 0.6 0.00026142 2.994E-06 0.65
370 0.6 0.00026331 2.9928E-06 0.66
371 0.6 0.00026505 3.0003E-06 0.67
372 0.6 0.00026688 3.0012E-06 0.68
373 0.6 0.00026867 3.0228E-06 0.69
374 0.6 0.00027041 3.0023E-06 0.7
375 0.6 0.00027208 3.0164E-06 0.71
376 0.6 0.00027377 3.0035E-06 0.72
377 0.6 0.00027531 3.0193E-06 0.73
378 0.6 0.00027708 3.0088E-06 0.74
379 0.6 0.00027886 2.9935E-06 0.75
380 0.6 0.00028033 2.987E-06 0.76
381 0.6 0.00028173 3.0006E-06 0.77
382 0.6 0.00028396 3.051E-06 0.78
383 0.6 0.00028542 3.019E-06 0.79
384 0.6 0.00028796 3.1E-06 0.8
385 0.6 0.00028964 3.0336E-06 0.81
386 0.6 0.00029196 2.9808E-06 0.82
387 0.6 0.00029372 3.0096E-06 0.83
388 0.6 0.00029525 3.2651E-06 0.84
389 0.6 0.00029707 3.2554E-06 0.85
390 0.6 0.00029888 3.2648E-06 0.86
391 0.6 0.00030121 3.2667E-06 0.87
392 0.6 0.00030319 3.228E-06 0.88
393 0.6 0.00030451 3.0085E-06 0.89
394 0.6 0.00030638 3.0401E-06 0.9
395 0.6 0.00030775 3.0624E-06 0.91
396 0.6 0.00030923 3.021E-06 0.92
397 0.6 0.00031201 3.2722E-06 0.93
398 0.6 0.00031334 3.2747E-06 0.94
399 0.6 0.00031608 3.2676E-06 0.95
400 0.6 0.00031769 3.2697E-06 0.96
401 0.6 0.00032023 3.2661E-06 0.97
402 0.6 0.00032229 3.2708E-06 0.98
403 0.6 0.00032321 3.2048E-06 0.99
404 0.6 0.00032573 3.2436E-06 1
405 0.8 -1.2947E-06 7.1201E-06 0
406 0.8 2.087E-05 7.0835E-06 0.01
407 0.8 4.2487E-05 7.0343E-06 0.02
408 0.8 6.3636E-05 6.9854E-06 0.03
409 0.8 8.4201E-05 6.929E-06 0.04
410 0.8 0.000104402 6.8885E-06 0.05
411 0.8 0.00012387 6.8421E-06 0.06
412 0.8 0.00014288 6.8109E-06 0.07
413 0.8 0.000161 6.7707E-06 0.08
414 0.8 0.00017868 6.7472E-06 0.09
415 0.8 0.00019577 6.696E-06 0.1
416 0.8 0.00021215 6.6718E-06 0.11
417 0.8 0.00022758 6.6515E-06 0.12
418 0.8 0.00024248 6.6169E-06 0.13
419 0.8 0.0002567 6.5523E-06 0.14
420 0.8 0.00027029 6.5589E-06 0.15
421 0.8 0.00028331 6.5319E-06 0.16
422 0.8 0.00029573 6.4698E-06 0.17
423 0.8 0.00030746 6.4494E-06 0.18
424 0.8 0.00031837 6.4416E-06 0.19
425 0.8 0.00032877 6.4147E-06 0.2
426 0.8 0.00033863 6.3798E-06 0.21
427 0.8 0.00034811 6.3503E-06 0.22
428 0.8 0.00035675 6.3368E-06 0.23
429 0.8 0.00036535 6.3467E-06 0.24
430 0.8 0.00037278 6.3165E-06 0.25
431 0.8 0.00038045 6.2967E-06 0.26
